,Date,Open,High,Low,Close,Change,Trend,Gap
211,2017-03-06,20548.95,20727.5,20532.2,20663.65,114.70000000000073,Bullish,U
212,2017-03-07,20685.95,20701.25,20585.95,20627.5,-58.45000000000073,Bearish,U
213,2017-03-08,20630.15,20715.2,20534.25,20676.55,46.39999999999782,Bullish,U
214,2017-03-09,20620.55,20780.25,20603.9,20721.35,100.79999999999927,Bullish,D
215,2017-03-10,20825.9,20876.95,20648.8,20727.55,-98.35000000000218,Bearish,U
216,2017-03-14,21189.85,21274.45,21059.7,21102.7,-87.14999999999782,Bearish,U
217,2017-03-15,21089.4,21216.9,21063.95,21157.9,68.5,Bullish,D
218,2017-03-16,21237.5,21289.8,21194.25,21249.9,12.400000000001455,Bullish,U
219,2017-03-17,21308.45,21336.05,21127.95,21175.05,-133.40000000000146,Bearish,U
220,2017-03-20,21202.55,21202.55,21084.8,21110.25,-92.29999999999927,Bearish,U
221,2017-03-21,21110.65,21146.5,20967.0,21019.0,-91.65000000000146,Bearish,U
222,2017-03-22,20815.35,20899.0,20753.9,20781.35,-34.0,Bearish,D
223,2017-03-23,20848.75,20934.75,20775.35,20895.5,46.75,Bullish,U
224,2017-03-24,20987.6,21174.1,20929.15,21122.55,134.95000000000073,Bullish,U
225,2017-03-27,21178.1,21179.2,20979.55,21056.9,-121.19999999999709,Bearish,U
226,2017-03-28,21229.0,21264.95,21145.0,21225.4,-3.599999999998545,Bearish,U
227,2017-03-29,21291.45,21418.6,21255.75,21391.15,99.70000000000073,Bullish,U
228,2017-03-30,21374.35,21696.0,21331.9,21620.7,246.35000000000218,Bullish,D
229,2017-03-31,21551.85,21574.15,21414.0,21444.15,-107.69999999999709,Bearish,D
230,2017-04-03,21539.2,21565.45,21408.6,21547.75,8.549999999999272,Bullish,U
231,2017-04-05,21602.2,21699.3,21499.75,21652.7,50.5,Bullish,U
232,2017-04-06,21572.7,21674.0,21488.9,21622.95,50.25,Bullish,D
233,2017-04-07,21536.5,21616.85,21397.0,21431.15,-105.34999999999854,Bearish,D
234,2017-04-10,21492.05,21552.1,21396.05,21520.15,28.100000000002183,Bullish,U
235,2017-04-11,21521.45,21753.35,21483.55,21736.15,214.70000000000073,Bullish,U
236,2017-04-12,21735.65,21787.1,21551.75,21666.8,-68.85000000000218,Bearish,D
237,2017-04-13,21651.25,21758.85,21627.0,21686.6,35.349999999998545,Bullish,D
238,2017-04-17,21700.5,21743.3,21576.75,21647.6,-52.900000000001455,Bearish,U
239,2017-04-18,21706.05,21947.0,21634.15,21671.85,-34.20000000000073,Bearish,U
240,2017-04-19,21674.1,21706.3,21470.2,21556.35,-117.75,Bearish,U
241,2017-04-20,21419.45,21558.85,21396.0,21491.4,71.95000000000073,Bullish,D
242,2017-04-21,21567.5,21614.55,21386.2,21551.45,-16.049999999999272,Bearish,U
243,2017-04-24,21591.9,21884.85,21578.65,21857.4,265.5,Bullish,U
244,2017-04-25,21960.65,22093.25,21900.3,22054.7,94.04999999999927,Bullish,U
245,2017-04-26,22158.65,22276.05,21814.9,22242.85,84.19999999999709,Bullish,U
246,2017-04-27,22274.05,22380.85,22169.8,22326.3,52.25,Bullish,U
247,2017-04-28,22296.8,22383.0,22182.55,22358.25,61.45000000000073,Bullish,D
248,2017-05-02,22412.55,22492.15,22266.15,22341.35,-71.20000000000073,Bearish,U
249,2017-05-03,22445.85,22449.0,22240.05,22307.3,-138.54999999999927,Bearish,U
250,2017-05-04,22618.3,22743.7,22449.9,22720.1,101.79999999999927,Bullish,U
251,2017-05-05,22844.85,22853.55,22514.0,22604.95,-239.89999999999782,Bearish,U
252,2017-05-08,22678.45,22835.15,22632.5,22767.35,88.89999999999782,Bullish,U
